gastvrouw	'xAst-frA+w
baangarantie	ban-Ga-'rAn-si
ontwerprichtlijn	Ont-'wErp-rIxt-lE+n
ouderliefde	'A+-d@r-liv-d@
hoogspringer	'hoxs-prI-N@r
verdubbeling	v@r-'dY-b@-lIN
verdedigingscommandant	v@r-'de-d@-GINs-kO-mAn-dAnt
typeringskunst	ti-'pe-rINs-kYnst
mechanicus	me-'xa-ni-kYs
kluitden	'klY+-dEn
komediante	ko-me-di-'jAn-t@
kettingregel	'kE-tIN-re-G@l
luchtkoeling	'lYxt-ku-lIN
ministerspost	mi-'nIs-t@rs-pOst
pinksterbloem	'pINk-st@r-blum
frou-frou	fru-'fru
uitzege	'Y+t-se-G@
liefdadigheidsinstelling	liv-'da-d@x-hE+t-sIn-stE-lIN
gospelsinger	'gOs-p@l-sI-N@r
zenuwachtigheid	'ze-nyw-Ax-t@x-hE+t
chocoladehagelslag	So-ko-la-d@-'ha-G@l-slAx
hoekmuur	'huk-myr
omzetbelasting	'Om-zEd-b@-lAs-tIN
informatrice	In-fOr-ma-'tri-s@
vooropstelling	vor-'Op-stE-lIN
kaasburger	'kaz-bYr-G@r
duivelkamer	'dY+-v@l-ka-m@r
subsidieaanvraag	sYp-si-di-'jan-vrax
zaadcelvorm	'zat-sEl-vOrm
kweektuin	'kwek-tY+n
hofhouding	'hOf-hA+-dIN
toxoplasmose	'tOk-so-plAs-mo-z@
spelersgroep	'spe-l@r-sxrup
monothe&iuml;st	mo-no-te-'jIst
luim	'lY+m
tweedehandszaak	'twe-d@-hAnt-sak
paasbrunch	'paz-brYnS
stedenvervuiler	'ste-d@n-v@r-vY+-l@r
afleidingsmanoeuvre	'Af-lE+-dINs-ma-nY:-vr@
zielsvervoering	'zils-f@r-vu-rIN
naturopathie	na-ty-ro-pa-'ti
zandkever	'zAnt-ke-v@r
sabbat	'sA-bAt
wereldkampioentrui	we-rElt-kAm-pi-jun-'trY+
armverzorging	'Arm-v@r-zOr-GIN
closetrolhouder	klo-'zEt-rOl-hA+-d@r
tjitjak	'tSI-tSAk
spreekstem	'sprek-stEm
kostenrekening	'kOs-t@n-re-k@-nIN
toneelheld	to-'nel-hElt
elzenstruik	'El-z@-strY+k
hst	ha-Es-'te
ocmw-voorzitter	o-se-Em-we-'vor-zI-t@r
hematocrietwaarde	he-ma-tOk-'rit-war-d@
lippenrouge	'lI-p@-ru-Z@
frontstuurcabine	'frOnt-styr-ka-bi-n@
wereldvisie	'we-r@lt-fi-zi
koffiekop	'kO-fi-kOp
palmares	pAl-ma-'rEs
vingerdruk	'vI-N@r-drYk
pissebloem	'pI-s@-blum
museumwinkel	my-'s2m-wIN-k@l
wegpiraat	'wEx-pi-rat
rugkwaal	'rYx-kwal
toeleg	'tu-lEx
tussentaal	'tY-s@-tal
modeprent	'mo-d@-prEnt
pompeusheid	pOm-'p2s-hE+t
schampscheut	'sxAmp-sx2t
kevel	'ke-v@l
landbouwtentoonstelling	'lAnd-bA+w-t@n-ton-stE-lIN
speciehandel	'spe-si-hAn-d@l
maatschappijhervormer	mat-sxA-'pE+-hEr-vOr-m@r
torpedoboot	tOr-'pe-do-bot
durfal	'dYrf-Al
monarchisering	mo-nAr-xi-ze-'rIN
invloedssfeer	'In-vlut-sfer
zoekopdracht	'zu-kOb-drAxt
al-liefde	'A-liv-d@
regulier	re-Gy-'lir
kniesoor	'knis-or
kleindochter	'klE+n-dOx-t@r
magneet	mAG-'net
fictionaliteit	fIk-So-na-li-'tE+t
behoeftigheid	b@-'huf-t@x-hE+t
varkenshouderij	'vAr-k@ns-hA+-d@-'rE+
anhidrose	An-hi-'dro-z@
revolutionair	re-vo-ly-tSo-'nE:r
mountainbike	'mA+n-t@m-bAjk
leertrant	'ler-trAnt
wijnroute	'wE+n-ru-t@
jongenspopulatie	jO-N@s-po-py-'lat-si
schietplooi	'sxit-ploj
spoorwagen	'spor-wa-G@
seksualiteit	sEk-sy-wa-li-'tE+t
faciliteitengemeente	fa-si-li-'tE+-t@n-G@-men-t@
klaproos	'klAp-ros
handelingsruimte	'hAn-d@-lINs-rY+m-t@
familiehoeve	fa-'mi-li-hu-v@
mouwstrijkerij	mA+w-strE+-k@-'rE+
regeringsbevoegdheid	r@-'Ge-rINz-b@-vuxt-hE+t
vulkachel	'vYl-kA-x@l
wonderspreuk	'wOn-d@r-spr2k
luchtboot	'lYGd-bot
vleesvork	'vles-fOrk
klerezooi	'kle-r@-zoj
postelein	pOs-t@-'lE+n
ploegdrijver	'pluG-drE+-v@r
druppelreactie	'drY-p@l-re-jAk-si
recyclage	re-'sik-la-G@
stierennek	'sti-r@-nEk
bekommernis	b@-'kO-m@r-nIs
kopergravure	'ko-p@r-Gra-vy-r@
flitsaccumulator	'flIts-A-ky-my-la-tOr
pachtster	'pAxt-st@r
klemmap	'klE-mAp
databank	'da-ta-bANk
renaissancegevel	r@-nE-'sAn-s@-Ge-v@l
kantoorervaring	kAn-'tor-Er-va-rIN
moesson	'mu-sOn
vissenbuik	'vI-s@-bY+k
boerencamping	'bu-r@N-kAm-pIN
galeriehoudster	xa-l@-'ri-hA+t-st@r
hartader	'hArt-a-d@r
aannemelinge	'a-ne-m@-lI-N@
verjaardagsfuif	v@r-'jar-dAxs-fY+f
leie-oever	'lE+-j@-'u-v@r
correctheid	kO-'rEkt-hE+t
omwenteling	'Om-wEn-t@-lIN
rokerskamer	'ro-k@rs-ka-m@r
adelsbrief	'a-d@lz-brif
naopvang	'na-Op-fAN
denktucht	'dENk-tYxt
voorwaardelijkheid	vor-'war-d@-l@k-hE+t
molenaarster	'mo-l@-nar-st@r
fruitsla	'frY+t-sla
schemeravond	'sxe-m@r-a-vOnt
mangelkamer	'mA-N@l-ka-m@r
strandvisser	'strAnt-fI-s@r
evolutionist	e-vo-ly-tSo-'nIst
ontsnapping	Ont-'snA-pIN
ambtsdrager	'Amdz-dra-G@r
wierookdrager	'wi-rog-dra-G@r
biografe	bi-jo-'Gra-f@
werkgeversvoorman	'wErk-xe-v@r-sfor-mAn
kooiker	'koj-k@r
bezoekersvoorkeur	b@-'zu-k@rs-for-k2r
reggae	'rE-ge
poetsgarnaal	'puts-xAr-nal
tijdschriftenportefeuille	'tE+t-sxrIf-t@-pOr-t@-fY+-j@
opbergplaats	'O-bErx-plats
laagspanning	'lax-spA-nIN
